Chl-a,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,DOC,NH3-N,NO3-N,PO4-P,BODTOC ratio,A250_A365,A254_A436,A254,S275-295,S350-400,SR,UV254,SUVA,BP,BP-N,BP CN ratio,HS,HS-N,HS CN ratio,Aromaticity,Molecularity,BB,LMWA,LMWN
14,27,7.5,424,7.1,1.2,6.3,9.2,5.025,0.195,4.207,3.716,0.215,3.726,0.134,0.3,5.53,12.9,0.022,0.0149,0.0146,1.015,0.111,2.99,47,8,0.16,1137,98,0.09,3.69,249,1619,13,610
9.1,23.1,7.5,338,7.3,2.1,7.6,31.7,5.26,0.29,4.679,4.02,0.392,3.837,0.182,0.4,5.61,18.85,0.025,0.0139,0.0185,0.753,0.126,3.14,41,41,1.01,1724,151,0.09,5.54,662,1328,43,3718
11.1,23.6,7.4,438,7.7,1,4.1,4.7,5.64,0.185,3.678,2.83,0.058,4.086,0.132,0.3,9.26,42.83,0.018,0.0163,0.0244,0.67,0.072,2.54,29,9,0.31,1122,88,0.08,3.57,772,881,8,690
5.6,21.9,7.5,419,7.8,0.8,5.4,11.5,5.785,0.23,4.242,3.553,0.091,4.55,0.163,0.2,4.59,12.09,0.027,0.0123,0.0171,0.717,0.108,3.05,20,6,0.32,1423,121,0.08,4.12,783,1069,23,757
4.8,18.9,7.4,448,9.3,0.6,4.3,4.6,6.102,0.174,2.97,2.637,0.058,5.07,0.129,0.2,5.45,12.97,0.017,0.0118,0.018,0.654,0.068,2.58,28,2,0.06,1011,83,0.08,3.8,786,926,0,699
4.3,16.5,7.5,430,9.7,0.9,4.5,10.3,6.294,0.141,3.154,3.092,0.035,5.258,0.096,0.3,5.98,14.44,0.015,0.0126,0.0184,0.684,0.059,1.92,33,3,0.09,991,86,0.09,3.68,785,907,0,676
4.3,15.1,7.5,451,9.8,0.7,3.8,4.2,5.946,0.114,2.872,2.797,0.078,5.19,0.078,0.2,6.97,32.53,0.014,0.0137,0.0203,0.677,0.056,2,37,8,0.21,966,91,0.09,3.39,773,871,0,599
6.5,14.7,7.6,454,9.3,0.9,3.8,3.4,6.507,0.126,2.759,2.558,0.075,5.364,0.084,0.3,4.84,8.23,0.015,0.0117,0.0122,0.964,0.06,2.34,28,5,0.17,932,82,0.09,3.67,783,925,5,638
4,12.8,7.6,470,10.3,0.7,4.6,4.8,5.46,0.132,3.078,2.934,0.086,4.934,0.093,0.2,5.91,22.31,0.014,0.0065,0.021,0.311,0.055,1.89,42,8,0.19,1107,99,0.09,3.7,777,991,1,760
2.9,9,7.4,460,11.1,1.6,4.7,4.4,6.927,0.111,3.054,2.865,0.212,5.454,0.071,0.5,4.18,8.17,0.012,0.0032,0.0131,0.243,0.049,1.71,17,10,0.59,882,64,0.07,3.59,616,782,0,602
